Study ID,Group,Image,Average Pixel Int,Homogeneity,Dissimilarity,Contrast,Correlation,Energy
FGR175-1,Control,13_FGR175-1_1_36.0_Plac_1_segmented.jpg,53.63147208121828,0.9786395369774321,0.1855694618272841,2.893566958698373,0.9822381610804038,0.9751096797715753
FGR176-1,Control,13_FGR176-1_1_35.1_Plac_1_segmented.jpg,43.99707374170894,0.9937800393372671,0.04476220275344181,1.0417146433041302,0.9725925038360559,0.991839834135264
FGR177-1,Control,13_FGR177-1_1_35.0_Plac_1_segmented.jpg,43.48052811550152,0.987009185375741,0.0773028785982478,0.9196871088861076,0.9863217206026023,0.9832683223471353
FGR178-1,Control,13_FGR178-1_1_35.4_Plac_1_segmented.jpg,62.59269922320604,0.9775362445088667,0.16870150187734664,2.632681476846057,0.9910893370124225,0.9716461186187457
FGR178-1,Control,13_FGR178-1_1_35.4_Plac_2_segmented.jpg,77.48758759302515,0.97544137717361,0.20117021276595745,4.03153942428035,0.9894880115674809,0.9710295963837388
FGR179-1,Control,13_FGR179-1_1_35.0_Plac_1_segmented.jpg,59.62835074965924,0.9882934997881596,0.10633604505632037,3.1947528160200243,0.9720201598161898,0.9860153841321893
FGR180-1,Control,13_FGR180-1_1_35.3_Plac_1_segmented.jpg,74.90239356484207,0.9859140361498183,0.15431163954943675,4.895409887359197,0.977151305393083,0.9840034775909061
FGR182-1,Control,13_FGR182-1_1_35.9_Plac_1_segmented.jpg,46.742979486158134,0.9870608606468676,0.09051939924906131,1.1172966207759696,0.9865358565197819,0.9840441994065173
FGR182-1,Control,13_FGR182-1_1_35.9_Plac_2_segmented.jpg,46.742979486158134,0.9870608606468676,0.09051939924906131,1.1172966207759696,0.9865358565197819,0.9840441994065173
FGR185-1,Control,13_FGR185-1_1_35.7_Plac_1_segmented.jpg,64.12872644203313,0.9879388789906398,0.12062578222778472,2.4097778473091367,0.9805644916796299,0.9860873433628027
FGR186-1,Control,13_FGR186-1_1_36.7_Plac_1_segmented.jpg,75.45544167886774,0.9861967172135189,0.13875469336670837,3.8032571964956188,0.9814974977807414,0.983701570721082
FGR189-1,Control,13_FGR189-1_1_35.4_Plac_1_segmented.jpg,48.67228725879784,0.9650824175613433,0.21487797246558193,2.1863047559449305,0.9907415074439173,0.9561005871983629
FGR192-1,Control,13_FGR192-1_1_35.4_Plac_1_segmented.jpg,41.72602860286029,0.9719738948653018,0.17167396745932414,1.9192334167709637,0.9874076361672016,0.9642887680870574
FGR194-1,Control,13_FGR194-1_1_35.6_Plac_1_segmented.jpg,59.402193784277884,0.9900202695333087,0.08194618272841049,1.9081883604505627,0.979095066254271,0.987792612985615
FGR194-1,Control,13_FGR194-1_1_35.6_Plac_2_segmented.jpg,64.28466962653435,0.9898095486259642,0.10833541927409258,4.342140175219023,0.9685736931127326,0.9877925886941938
